Date	Open	High	Low	Close	Volume	Adj Close
2012/8/13	4.95	5.12	4.8	4.8	393	-0.14
2012/8/14	4.77	4.98	4.77	4.97	699.19	0.17
2012/8/15	4.99	4.99	4.83	4.93	1024	-0.04
2012/8/16	4.98	4.99	4.91	4.99	305.3	0.06
2012/8/17	5.03	5.03	4.93	5.03	284	0.04
2012/8/20	5.5	5.53	5.1	5.29	1570.08	0.26
2012/8/21	5.3	5.3	5.19	5.29	2602.61	0
2012/8/22	5.3	5.38	5.26	5.29	1321.19	0
2012/8/23	5.31	5.39	5.28	5.38	1247	0.09
2012/8/24	5.38	5.47	5.36	5.36	2117	-0.02
2012/8/27	5.27	5.32	5.12	5.18	823.99	-0.18
2012/8/28	5.29	5.48	5.15	5.29	1261.99	0.11
2012/8/29	5.18	5.3	5.18	5.29	842.37	0
2012/8/30	5.2	5.33	5.16	5.3	1365	0.01
2012/8/31	5.21	5.29	5.19	5.27	379	-0.03
2012/9/3	5.27	5.3	5.02	5.28	1059	0.01
2012/9/4	5.26	5.34	5.26	5.26	2108.17	-0.02
2012/9/5	5.23	5.28	5.13	5.26	476.99	0
2012/9/6	5.3	5.3	5.22	5.3	254.5	0.04
2012/9/7	5.31	5.6	5.25	5.5	4434.68	0.2
2012/9/10	5.42	5.59	5.42	5.57	2742.49	0.07
2012/9/11	5.6	5.6	5.51	5.56	1954	-0.01
2012/9/12	5.63	5.65	5.5	5.57	1030.3	0.01
2012/9/13	5.53	5.55	5.4	5.4	1009	-0.17
2012/9/14	5.41	5.52	5.41	5.42	1163.79	0.02
2012/9/17	5.42	5.5	5.32	5.32	810	-0.1
2012/9/18	5.35	5.38	5.3	5.3	554	-0.02
2012/9/19	5.28	5.33	5.22	5.33	833	0.03
2012/9/20	5.25	5.29	5.16	5.16	716	-0.17
2012/9/21	5.14	5.26	5.14	5.22	228.7	0.06
2012/9/24	5.06	5.21	5.06	5.19	308	-0.03
2012/9/25	5.18	5.18	5.06	5.13	400	-0.06
2012/9/26	5.05	5.06	4.95	4.95	848.8	-0.18
2012/9/27	4.91	5.16	4.87	5.14	881.8	0.19
2012/9/28	5.05	5.18	5.05	5.16	668	0.02
2012/10/8	5.1	5.19	5.1	5.15	379	-0.01
2012/10/9	5.13	5.27	5.13	5.25	873	0.1
2012/10/10	5.2	5.29	5.2	5.28	911.1	0.03
2012/10/11	5.29	5.38	5.26	5.26	595.5	-0.02
2012/10/12	5.3	5.3	5.22	5.27	735	0.01
2012/10/15	5.38	5.38	5.23	5.3	375	0.03
2012/10/16	5.26	5.33	5.25	5.32	505	0.02
2012/10/17	5.34	5.34	5.24	5.32	1016	0
2012/10/18	5.26	5.34	5.26	5.33	1486	0.01
2012/10/19	5.27	5.33	5.25	5.29	1298	-0.04
2012/10/22	5.23	5.47	5.22	5.42	3739.3	0.13
2012/10/23	5.41	5.42	5.32	5.36	1875.72	-0.06
2012/10/24	5.3	5.36	5.24	5.31	1437	-0.05
2012/10/25	5.31	5.37	5.25	5.28	4616	-0.03
2012/10/26	5.24	5.26	5.18	5.24	1964.88	-0.04
2012/10/29	5.08	5.24	5.08	5.2	582	-0.04
2012/10/30	5.14	5.27	5.14	5.2	1940	0
2012/10/31	5.27	5.27	5.22	5.22	463	0.02
2012/11/1	5.24	5.38	5.24	5.34	2127	0.12
2012/11/2	5.35	5.36	5.32	5.36	2572.5	0.02
2012/11/5	5.35	5.36	5.3	5.3	763	-0.06
2012/11/6	5.27	5.29	5.27	5.27	571	-0.03
2012/11/7	5.28	5.31	5.27	5.28	323	0.01
2012/11/8	5.19	5.28	5.19	5.2	391.25	-0.08
2012/11/9	5.28	5.32	5.22	5.26	786	0.06
2012/11/12	5.26	5.27	5.24	5.25	321	-0.01
2012/11/13	5.21	5.24	5.19	5.23	702	-0.02
2012/11/14	5.21	5.22	5.19	5.2	474	-0.03
2012/11/15	5.19	5.24	5.15	5.15	862	-0.05
2012/11/16	5.05	5.15	5.05	5.08	182	-0.07
2012/11/19	5.15	5.15	5.08	5.09	237	0.01
2012/11/20	5.09	5.24	5.09	5.16	256	0.07
2012/11/21	5.1	5.15	5.1	5.14	384	-0.02
2012/11/22	5.12	5.23	5.12	5.16	253.3	0.02
2012/11/23	5.23	5.25	5.17	5.23	410	0.07
2012/11/26	5.18	5.19	5.09	5.19	179	-0.04
2012/11/27	5.11	5.16	5.08	5.09	550	-0.1
2012/11/28	4.88	5.08	4.88	5.02	520	-0.07
2012/11/29	5	5.02	4.93	4.94	458.03	-0.08
2012/11/30	5.02	5.07	4.96	4.97	915	0.03
2012/12/3	4.94	5.06	4.94	4.97	488	0
2012/12/4	4.82	4.84	4.51	4.84	795	-0.13
2012/12/5	4.82	5.03	4.82	5	723.01	0.16
2012/12/6	4.96	5	4.95	5	267	0
2012/12/7	5.04	5.17	5.04	5.1	1425.3	0.1
2012/12/10	5.14	5.24	5.1	5.2	2466	0.1
2012/12/11	5.2	5.2	5.14	5.16	713.04	-0.04
2012/12/12	5.17	5.23	5.16	5.19	787	0.03
2012/12/13	5.13	5.14	5.12	5.13	178	-0.06
2012/12/14	5.16	5.36	5.15	5.34	2582.52	0.21
2012/12/17	5.31	5.35	5.29	5.32	1502	-0.02
2012/12/18	5.25	5.32	5.24	5.29	2078	-0.03
2012/12/19	5.3	5.35	5.28	5.34	1914.99	0.05
2012/12/20	5.3	5.33	5.3	5.32	195	-0.02
2012/12/21	5.31	5.38	5.31	5.31	927	-0.01
2012/12/24	5.28	5.39	5.26	5.39	2395	0.08
2012/12/25	5.39	5.47	5.36	5.47	3436.01	0.08
2012/12/26	5.55	5.66	5.47	5.62	5340.05	0.15
2012/12/27	5.62	5.82	5.57	5.73	9174.92	0.11
2013/1/18	6.29	6.3	5.9	6.04	18608.83	0.31
2013/1/21	6.05	6.27	6.05	6.2	8470.68	0.16
2013/1/22	6.21	6.58	6.16	6.41	14253.21	0.21
2013/1/23	6.35	6.62	6.35	6.55	8137.57	0.14
2013/1/24	6.59	6.74	6.5	6.6	14100	0.05
2013/1/25	6.55	6.85	6.52	6.85	10204.9	0.25
2013/1/28	6.81	7	6.74	7	9797.53	0.15
2013/1/29	7.09	7.48	7.09	7.28	13836.89	0.28
2013/1/30	7.29	7.37	7.12	7.16	6834.56	-0.12
2013/1/31	7.19	7.19	6.9	6.94	7043.01	-0.22
2013/2/1	6.97	7.08	6.91	7.03	4784.42	0.09
2013/2/4	7.09	7.09	6.84	6.91	2466	-0.12
2013/2/5	6.8	6.88	6.52	6.76	5316.62	-0.15
2013/2/6	6.84	7.08	6.84	7.03	6117.39	0.27
2013/2/7	7.08	7.15	6.97	7.07	3557	0.04
2013/2/8	7.24	7.24	6.96	7.1	2505.5	0.03
2013/2/18	7.17	7.17	7.01	7.08	2015	-0.02
2013/2/19	7.08	7.12	6.72	6.77	4197.26	-0.31
2013/2/20	6.85	6.87	6.77	6.87	1407.7	0.1
2013/2/21	6.7	6.8	6.59	6.67	2945.84	-0.2
2013/2/22	6.75	6.81	6.67	6.71	2198	0.04
2013/2/25	6.71	6.8	6.7	6.74	1146.7	0.03
2013/2/26	6.65	6.82	6.65	6.71	1152	-0.03
2013/2/27	6.61	6.78	6.61	6.72	918.99	0.01
2013/2/28	6.7	6.92	6.69	6.92	3245.38	0.2
2013/3/1	6.91	7.15	6.91	7.13	4476.13	0.21
2013/3/4	7.1	7.1	6.7	6.88	2897	-0.25
2013/3/5	6.83	7.04	6.83	6.98	1076.5	0.1
2013/3/6	6.9	7.2	6.8	7.09	2001.32	0.11
2013/3/7	7.02	7.16	6.95	7.1	2575.42	0.01
2013/3/8	7.1	7.17	7.08	7.1	1431	0
2013/3/11	7.09	7.09	7	7	935	-0.1
2013/3/12	7	7.16	6.63	6.75	3050.89	-0.25
2013/3/13	6.73	6.81	6.41	6.42	3311	-0.33
2013/3/14	6.39	6.56	6.39	6.52	957.1	0.1
2013/3/15	6.38	6.7	6.37	6.57	1870.82	0.05
2013/3/18	6.48	6.53	6.45	6.45	738	-0.12
2013/3/19	6.57	6.59	6.42	6.51	1113	0.06
2013/3/20	6.57	6.71	6.57	6.7	2247.52	0.19
2013/3/21	6.72	6.75	6.68	6.73	1090.99	0.03
2013/3/22	6.76	6.93	6.76	6.86	1809.3	0.13
2013/3/25	6.86	6.9	6.85	6.86	240	0
2013/3/26	6.79	6.86	6.64	6.83	1001.65	-0.03
2013/3/27	6.83	6.85	6.76	6.82	1045	-0.01
2013/3/28	6.75	6.77	6.65	6.68	1008	-0.14
2013/3/29	6.71	6.72	6.66	6.71	197	0.03
2013/4/1	6.65	6.78	6.65	6.68	374	-0.03
2013/4/2	7.07	7.07	6.69	6.8	1438.27	0.12
2013/4/3	6.82	6.83	6.6	6.71	620	-0.09
2013/4/8	6.63	6.74	6.15	6.67	376.8	-0.04
2013/4/9	6.77	6.77	6.69	6.71	208	0.04
2013/4/10	6.77	6.77	6.51	6.67	703.21	-0.04
2013/4/11	6.76	6.76	6.66	6.66	318.25	-0.01
2013/4/12	6.67	6.7	6.59	6.63	316	-0.03
2013/4/15	6.46	6.62	6.45	6.48	1324.46	-0.15
2013/4/16	6.4	6.56	6.4	6.56	507.97	0.08
2013/4/17	6.58	6.66	6.45	6.55	740	-0.01
2013/4/18	6.55	6.55	6.45	6.5	582	-0.05
2013/4/19	6.52	6.69	6.5	6.64	1702.01	0.14
2013/4/22	6.63	6.78	6.62	6.75	1514.53	0.11
2013/4/23	6.78	6.83	6.6	6.68	1751	-0.07
2013/4/24	6.65	6.78	6.62	6.73	1964.9	0.05
2013/4/25	6.75	6.75	6.61	6.61	1034	-0.12
2013/4/26	6.72	6.73	6.55	6.64	322	0.03
2013/5/2	6.48	6.63	6.4	6.45	1063	-0.19
2013/5/3	6.6	6.6	6.48	6.51	835	0.06
2013/5/6	6.43	6.52	6.21	6.51	1389	0
2013/5/7	6.5	6.5	6.42	6.43	1458.5	-0.08
2013/5/8	6.37	6.5	6.36	6.47	1589	0.04
2013/5/9	6.41	6.49	6.35	6.37	2193	-0.1
2013/5/10	6.39	6.46	6.38	6.44	1199.14	0.07
2013/5/13	6.42	6.44	6.38	6.42	678.03	-0.02
2013/5/14	6.43	6.43	6.35	6.38	782	-0.04
2013/5/15	6.39	6.5	6.39	6.45	720.5	0.07
2013/5/16	6.44	6.59	6.44	6.56	2411.46	0.11
2013/5/17	6.55	6.65	6.53	6.63	1850.62	0.07
2013/5/20	6.63	6.7	6.61	6.66	1613	0.03
2013/5/21	6.62	6.68	6.61	6.66	3109	0
2013/5/22	6.64	6.74	6.63	6.69	1381.81	0.03
2013/5/23	6.69	6.69	6.62	6.65	1683	-0.04
2013/5/24	6.66	6.72	6.66	6.69	1165	0.04
2013/5/27	6.74	6.75	6.66	6.69	1188.5	0
2013/5/28	6.76	6.77	6.65	6.75	1772.92	0.06
2013/5/29	6.75	6.86	6.75	6.82	2184.43	0.07
2013/5/30	6.76	6.83	6.76	6.83	1970	0.01
2013/5/31	6.79	6.86	6.74	6.75	1972.99	-0.08
2013/6/3	6.75	6.79	6.67	6.74	904	-0.01
2013/6/4	6.67	6.71	6.54	6.65	1123	-0.09
2013/6/5	6.57	6.66	6.57	6.62	875.42	-0.03
2013/6/6	6.55	6.67	6.55	6.61	541	-0.01
2013/6/7	6.66	6.66	6.51	6.58	1329	-0.03
2013/6/13	6.41	6.54	6.17	6.28	1674	-0.3
2013/6/14	6.28	6.3	6.17	6.3	870.1	0.02
2013/6/17	6.38	6.63	6.34	6.5	2142.4	0.2
2013/6/18	6.49	6.49	6.23	6.4	567.74	-0.1
2013/6/19	6.25	6.4	6.23	6.37	610.5	-0.03
2013/6/20	6.35	6.43	6.28	6.31	636.48	-0.06
2013/6/21	6.21	6.34	6.17	6.33	673.69	0.02
2013/6/24	6.23	6.37	5.76	6.08	1179	-0.25
2013/6/25	6	6.01	5.48	5.94	1113.66	-0.14
2013/6/26	5.88	5.96	5.76	5.93	711.93	-0.01
2013/6/27	5.93	6.07	5.9	5.92	715.6	-0.01
2013/6/28	5.9	5.99	5.9	5.99	386	0.07
2013/7/1	6.05	6.05	5.87	6	169	0.01
2013/7/2	6.06	6.13	5.94	6.1	389	0.1
2013/7/3	5.97	6.14	5.96	6.11	586	0.01
2013/7/4	6	6.17	6	6.16	611.13	0.05
2013/7/5	6.1	6.16	6.1	6.1	184	-0.06
2013/7/8	6.06	6.06	5.91	5.92	925.21	-0.18
2013/7/9	5.88	5.88	5.64	5.64	2069	-0.03
2013/7/10	5.66	5.79	5.65	5.78	89	0.14
2013/7/11	5.65	5.91	5.65	5.89	5124	0.11
2013/7/12	5.88	5.93	5.79	5.8	1392	-0.09
2013/7/15	5.7	5.78	5.61	5.68	2719.96	-0.12
2013/7/16	5.68	5.71	5.64	5.7	997.1	0.02
2013/7/17	5.67	5.72	5.61	5.61	923.5	-0.09
2013/7/18	5.55	5.7	5.53	5.63	1573.5	0.02
2013/7/19	5.63	5.64	5.5	5.55	1104	-0.08
2013/7/22	5.61	5.61	5.5	5.6	326	0.05
2013/7/23	5.6	5.66	5.53	5.66	1722.9	0.06
2013/7/24	5.68	5.68	5.62	5.67	443	0.01
2013/7/25	5.64	5.64	5.45	5.53	751	-0.14
2013/7/26	5.45	5.54	5.45	5.5	348	-0.03
2013/7/29	5.41	5.5	5.36	5.37	1217.75	-0.13
2013/7/30	5.37	5.57	5.35	5.49	810	0.12
2013/7/31	5.41	5.51	5.41	5.49	445.6	0
2013/8/1	5.49	5.52	5.44	5.51	1417.85	0.02
2013/8/2	5.5	5.52	5.49	5.49	645	-0.02
2013/8/5	5.35	5.52	5.35	5.5	587	0.01
2013/8/6	5.48	5.57	5.45	5.56	1771.47	0.06
2013/8/7	5.56	5.56	5.51	5.54	650	-0.02
2013/8/8	5.54	5.56	5.51	5.56	791.5	0.02
2013/8/9	5.5	5.58	5.5	5.58	266	0.02
2013/8/12	5.54	5.71	5.54	5.68	1261	0.1
2013/8/13	5.63	5.74	5.62	5.68	2334.78	0
2013/8/14	5.67	5.78	5.67	5.73	1809.65	0.05
2013/8/15	5.68	5.75	5.67	5.72	369	-0.01
2013/8/16	5.66	5.77	5.64	5.67	490	-0.05
2013/8/19	5.63	5.72	5.63	5.66	364	-0.01
2013/8/20	5.65	5.76	5.62	5.73	903	0.07
2013/8/21	5.82	5.82	5.67	5.75	673	0.02
2013/8/22	5.74	5.88	5.66	5.72	1849.25	-0.03
2013/8/23	5.7	5.76	5.66	5.71	1364.68	-0.01
2013/8/26	5.68	5.73	5.66	5.72	1007	0.01
2013/8/27	5.73	5.85	5.71	5.82	1100	0.1
2013/8/28	5.75	5.89	5.73	5.88	1781.5	0.06
2013/8/29	5.83	6.11	5.83	6.04	7462.29	0.16
2013/8/30	6.03	6.1	5.95	6	1604	-0.04
2013/9/2	5.97	5.97	5.81	5.91	1389.19	-0.09
2013/9/3	5.92	5.97	5.87	5.93	480	0.02
2013/9/4	5.92	5.94	5.88	5.89	385	-0.04
2013/9/5	5.87	5.95	5.87	5.89	299.5	0
2013/9/6	5.83	5.94	5.83	5.94	169	0.05
2013/9/9	5.97	6.04	5.91	5.99	569	0.05
2013/9/10	5.9	6.05	5.9	6.01	978.89	0.02
2013/9/11	5.95	6	5.88	5.95	973.49	-0.06
2013/9/12	5.97	5.97	5.88	5.93	471	-0.02
2013/9/13	5.83	5.94	5.83	5.92	402	-0.01
2013/9/16	5.9	5.94	5.87	5.92	394.99	0
2013/9/17	5.93	5.96	5.83	5.84	637	-0.08
2013/9/18	5.84	5.93	5.84	5.92	309.99	0.08
2013/9/23	5.96	5.96	5.82	5.89	723.97	-0.03
2013/9/24	5.82	5.86	5.76	5.8	614.99	-0.09
2013/9/25	5.8	5.8	5.77	5.78	168	-0.02
2013/9/26	5.78	5.84	5.74	5.81	502	0.03
2013/9/27	5.79	5.87	5.79	5.86	265.05	0.05
2013/9/30	5.8	5.87	5.8	5.87	194	0.01
2013/10/8	5.83	5.87	5.76	5.86	504.01	-0.01
2013/10/9	5.72	5.82	5.71	5.8	490.37	-0.06
2013/10/10	5.8	5.87	5.77	5.85	956.47	0.05
2013/10/11	5.9	5.9	5.82	5.86	663	0.01
2013/10/14	5.85	5.94	5.85	5.94	771.54	0.08
2013/10/15	5.98	5.98	5.8	5.9	705	-0.04
2013/10/16	5.85	5.89	5.8	5.83	794.03	-0.07
2013/10/17	5.92	5.92	5.8	5.88	597.52	0.05
2013/10/18	5.88	5.97	5.88	5.92	236.4	0.04
2013/10/21	5.82	5.95	5.82	5.9	758.3	-0.02
2013/10/22	5.93	5.94	5.84	5.9	494	0
2013/10/23	5.9	5.9	5.78	5.87	1924	-0.03
2013/10/24	5.87	5.92	5.78	5.87	463	0
2013/10/25	5.81	5.87	5.74	5.85	276.44	-0.02
2013/10/28	5.84	5.86	5.84	5.85	189	0
2013/10/29	5.75	5.87	5.74	5.8	2083.45	-0.05
2013/10/30	5.84	5.88	5.8	5.84	766.43	0.04
2013/10/31	5.89	5.89	5.72	5.79	274.16	-0.05
2013/11/1	5.82	5.82	5.73	5.73	339	-0.06
2013/11/4	5.72	5.79	5.71	5.79	274.43	0.06
2013/11/5	5.71	5.79	5.67	5.78	380	-0.01
2013/11/6	5.78	5.78	5.69	5.77	569	-0.01
2013/11/7	5.76	5.76	5.67	5.69	348	-0.08
2013/11/8	5.75	5.75	5.66	5.72	108	0.03
2013/11/11	5.74	5.74	5.65	5.7	164.05	-0.02
2013/11/12	5.7	5.72	5.66	5.71	552	0.01
2013/11/13	5.67	5.7	5.52	5.68	400	-0.03
2013/11/14	5.71	5.71	5.6	5.7	84	0.02
2013/11/15	5.72	5.8	5.7	5.78	1082	0.08
2013/11/18	5.84	5.84	5.72	5.8	810	0.02
2013/11/19	5.79	5.82	5.69	5.76	1330.99	-0.04
2013/11/20	5.71	5.8	5.71	5.79	218.14	0.03
2013/11/21	5.76	5.79	5.74	5.78	627.5	-0.01
2013/11/22	5.81	5.81	5.7	5.79	1212	0.01
2013/11/25	5.79	5.8	5.76	5.77	578	-0.02
2013/11/26	5.76	5.82	5.73	5.79	329	0.02
2013/11/27	5.79	5.88	5.79	5.8	851.14	0.01
2013/11/28	5.87	5.87	5.76	5.81	1104.72	0.01
2013/11/29	5.84	5.84	5.78	5.78	114	-0.03
2013/12/2	5.78	5.78	5.66	5.67	413	-0.11
2013/12/3	5.66	5.75	5.65	5.74	765.99	0.07
2013/12/4	5.74	5.82	5.73	5.79	1292.79	0.05
2013/12/5	5.82	5.83	5.77	5.82	503.45	0.03
2013/12/6	5.76	5.85	5.76	5.85	529	0.03
2013/12/9	5.86	6.16	5.86	6.12	8697.7	0.27
2013/12/10	6.1	6.32	6.04	6.2	4505.28	0.08
2013/12/11	6.12	6.19	6.08	6.11	2319.09	-0.09
2013/12/12	6.09	6.35	6.09	6.29	3604.49	0.18
2013/12/13	6.22	6.31	6.13	6.18	2175.18	-0.11
2013/12/16	6.17	6.17	6.03	6.04	2180	-0.14
2013/12/17	6.05	6.07	6.02	6.05	582.07	0.01
2013/12/18	6.08	6.08	5.98	6.02	1703	-0.03
2013/12/19	6.09	6.09	5.88	5.95	2296.14	-0.07
2013/12/20	5.96	5.99	5.92	5.92	661	-0.03
2013/12/23	5.88	5.88	5.78	5.81	1304.47	-0.11
2013/12/24	5.82	5.92	5.82	5.89	456	0.08
2013/12/25	5.96	5.96	5.87	5.94	813	0.05
2013/12/26	5.88	5.97	5.88	5.95	212	0.01
2013/12/27	6.02	6.02	5.9	5.96	533	0.01
2013/12/30	5.91	5.98	5.84	5.97	369	0.01
2013/12/31	5.98	5.99	5.94	5.96	266	-0.01
2014/1/2	5.98	6.01	5.91	6.01	807	0.05
2014/1/3	6.03	6.03	5.98	6.01	1065.46	0
2014/1/6	5.91	5.99	5.75	5.9	828.65	-0.11
2014/1/7	5.78	5.96	5.78	5.93	314	0.03
2014/1/8	5.83	5.96	5.82	5.95	364	0.02
2014/1/9	5.96	5.96	5.88	5.94	66	-0.01
2014/1/10	5.82	5.92	5.68	5.91	157	-0.03
2014/1/13	5.9	5.9	5.8	5.88	103	-0.03
2014/1/14	5.91	5.93	5.87	5.93	275	0.05
2014/1/15	5.9	6	5.8	5.93	382.45	0
2014/1/16	5.87	5.98	5.87	5.97	310	0.04
2014/1/17	5.88	5.92	5.86	5.92	196	-0.05
2014/1/20	5.82	5.99	5.8	5.85	218	-0.07
2014/1/21	5.9	5.93	5.87	5.91	319.57	0.06
2014/1/22	5.89	6.03	5.89	6.02	1052.95	0.11
2014/1/23	6.02	6.04	5.99	6	162.95	-0.02
2014/1/24	5.99	6.07	5.97	6.06	615.57	0.06
2014/1/27	5.93	6.04	5.9	5.91	783.97	-0.15
2014/1/28	5.91	6.03	5.91	6.01	620	0.1
2014/1/29	6.01	6.01	5.94	5.96	337.43	-0.05
2014/1/30	5.95	5.96	5.86	5.94	366.01	-0.02
2014/2/7	5.89	5.93	5.83	5.93	732	-0.01
2014/2/10	5.92	6.04	5.92	6.04	1170.98	0.11
2014/2/11	6.05	6.15	6.05	6.15	2245	0.11
2014/2/12	6.09	6.16	6.09	6.16	1176.8	0.01
2014/2/13	6.18	6.21	6.1	6.16	715	0
2014/2/14	6.12	6.27	6.12	6.2	2565.85	0.04
2014/2/17	6.26	6.26	5.8	6.23	2500.76	0.03
2014/2/18	6.23	6.39	6.08	6.38	8026.7	0.15
2014/2/19	6.34	6.36	6.22	6.26	2733	-0.12
2014/2/20	6.33	6.33	6.17	6.2	1775.3	-0.06
2014/2/21	6.25	6.25	6.16	6.25	1173.06	0.05
2014/2/24	6.2	6.48	6.18	6.41	2970.48	0.16
2014/2/25	6.35	6.38	6.06	6.18	2476.48	-0.23
2014/2/26	6.24	6.24	6.09	6.2	1924.48	0.02
2014/2/27	6.25	6.4	6.2	6.4	5633.12	0.2
2014/2/28	6.35	6.7	6.34	6.64	5865.51	0.24
2014/3/3	6.62	6.84	6.52	6.64	1831.49	0
2014/3/4	6.7	6.73	6.58	6.72	3660.09	0.08
2014/3/5	6.79	6.89	6.74	6.86	6306	0.14
2014/3/6	6.72	6.98	6.65	6.91	4980.42	0.05
2014/3/7	6.72	7.29	6.72	7.17	5075.93	0.26
2014/3/10	7.24	7.24	6.91	7.13	3617.57	-0.04
2014/3/11	7	7.17	6.91	6.98	1714	-0.15
2014/3/12	6.98	7.03	6.9	7.02	4795.56	0.04
2014/3/13	7.01	7.15	6.98	7.13	3347.69	0.11
2014/3/14	6.95	7.48	6.95	7.26	3449.34	0.13
2014/3/17	7.05	7.36	7.05	7.36	1536.56	0.1
2014/3/18	7.29	7.41	7.22	7.39	3546.1	0.03
2014/3/19	7.4	7.66	7.31	7.51	3528.42	0.12
2014/3/20	7.5	7.5	7.26	7.39	1327	-0.12
2014/3/21	7.41	7.67	7.35	7.47	2130.99	0.08
2014/3/24	7.52	7.52	7.32	7.38	1464.53	-0.09
2014/3/25	7.3	7.35	7.2	7.29	2318.09	-0.09
2014/3/26	7.28	7.45	7.26	7.3	770	0.01
2014/3/27	7.2	7.42	7.15	7.33	1244.19	0.03
2014/3/28	7.25	7.5	7.25	7.5	1986	0.17
2014/3/31	7.67	7.67	7.22	7.35	1339	-0.15
2014/4/1	7.28	7.37	7.15	7.3	2693.01	-0.05
2014/4/2	7.1	7.45	7.1	7.3	384	0
2014/4/3	7.63	7.63	7.28	7.36	1429	0.06
2014/4/4	7.61	7.61	7.33	7.57	2398.9	0.21
2014/4/8	7.68	8.32	7.67	8.32	10678.96	0.75
2014/4/9	8.32	8.99	8.31	8.99	14746.07	0.67
2014/4/10	8.71	8.88	8.32	8.69	13182.75	-0.3
2014/4/11	8.1	8.9	8.1	8.9	5620.21	0.21
2014/4/14	8.53	8.64	8.34	8.64	1936	-0.26
2014/4/15	8.38	8.48	8.28	8.44	1089	-0.2
2014/4/16	8.4	8.47	8.24	8.37	836	-0.07
2014/4/17	8.37	8.69	8.22	8.41	2009	0.04
2014/4/18	8.28	8.38	8.19	8.38	787	-0.03
2014/4/21	8.2	8.37	8.18	8.33	1274.99	-0.05
2014/4/22	8.13	8.32	8.06	8.32	1503.87	-0.01
2014/4/23	8.16	8.37	8.09	8.22	1203	-0.1
2014/4/24	8.26	8.36	7.8	8.2	302	-0.02
2014/4/25	8.1	8.5	8.1	8.27	895	0.07
2014/4/28	8.2	8.28	7.9	8.28	1681	0.01
2014/4/29	8.18	8.26	8.06	8.26	394	-0.02
